S_No,Species,Trait,Parameter,"metaQTL name",Chromosome,"Position/Interval in cM/bp","Associated Markers",PVE/R2,"Link to reference"
971,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1A.5,1A,48.7-49,"AX110597220, AX111596418",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
972,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1A.6,1A,49.31-50.2,"IWB64888, Xcfe26.5",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
973,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1A.7,1A,51.91-52.5,"AX95129506, AX94383313",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
974,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL1A.8,1A,58.82-58.95,"IWA4240, AX94492795",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
975,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1B.1 ",1B,11.97-12.18,"IWB54702.1, IWB28576",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
976,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1B.2 ",1B,48.18-50.07,"AX94888336, AX95186655",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
977,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1B.3 ",1B,77.2877.9,"IWB57219, AX95223114",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
978,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1B.4 ",1B,88.96-89.64,"IWB43001, IWB12258",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
979,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1B.5 ",1B,93.01-93.2,"IWB61919, IWB11925.1",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
980,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1B.6 ",1B,95.73-96.06,"IWB47571, IWB8902",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
981,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1B.7 ",1B,103.4-104.59,"IWB8913, Ku_c20478_390",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
982,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1B.8 ",1B,114.34-114.52,"IWB35083, Xutv1391b",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
983,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1D.1 ",1D,15.75-25.05,"AX95104817, XGli1",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
984,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1D.2 ",1D,70.42-70.93,"IWA6621, IWB35174",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
985,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1D.3 ",1D,76.32-83.79,"IWB60500.2, AX94653386",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
986,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1D.4 ",1D,95.78-96.28,"P32, M59, 2, 1DS_1914495_3816",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
987,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1D.5 ",1D,106.49-113.89,"XksuE18a, AX94555171",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
988,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL1D.6 ",1D,118.51-122.11,"Xwmc63.1, IWB23920",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
989,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2A.1 ",2A,122.34-123.24,"BS00021739_51, GENE1031_48",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
990,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2A.2,2A,142.74-143.76,"IAAV1587, IWB14868",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
991,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2A.3,2A,151.07-153.05,"AX95140204, AX109425280",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
992,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2A.4,2A,158.76-159.04,"Xwmc630b, AX108741878",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
993,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2A.5,2A,162.13-162.23,"AX110428539, IWB43373",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
994,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2A.6,2A,162.64-163.12,"IWB43373, tPt9405",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
995,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL2A.7,2A,187.13-187.29,"PpD_A1, Xgpw2204",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
996,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2B.1 ",2B,72.48-73.36,"IWB40903, IWB17530",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
997,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2B.2 ",2B,83.24-84.5,"IWB65267.1, IWB41081",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
998,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2B.3 ",2B,102.57-103.78,"IWB65370.2, IWB45990",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
999,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2B.4 ",2B,114.43-114.98,"IWB35771, IWB30649",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1000,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2B.5 ",2B,118.09-118.26,"IWB64873, IWB28040",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1001,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2B.6 ",2B,126.62-127.31,"IWB26439, wPt0746",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1002,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2B.7 ",2B,170.03-170.04,"AX94911223, Xwmc617.1",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1003,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2D.1 ",2D,0.1-0.65,"Xbarc114, AX94611751",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1004,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2D.2 ",2D,6.8-7.36,"3033925|F|0, 3029203|F|0",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1005,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2D.3 ",2D,35.55-48.99,"PPD_D1, AX110595669",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1006,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2D.4 ",2D,59.46-61.31,"AX110668803, 2DS_5365757_8955",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1007,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2D.5 ",2D,67.72-68.15,"AX94750495, wPt0330",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1008,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2D.6 ",2D,76.43-76.84,"2DS_5390826_7647, Estssr, 143",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1009,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2D.7 ",2D,89.87-90.61,"Xfba400, AX94743556",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1010,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL2D.8 ",2D,100.1-100.15,"AX110939188, JD_c63957_1176",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1011,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3A.1 ",3A,40.14-40.52,"IWB73673, Xgpw7080",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1012,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3A.2,3A,45.02-45.38,"IWB13817, 3960111",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1013,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3A.3,3A,52.56-54.93,"XPacgMctg13, Xwmc532",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1014,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3A.4,3A,68.17-68.73,"AX111488679, Xbcd372",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1015,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3A.5,3A,71.86-72.41,"wPt440, wPt731120",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1016,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3A.6,3A,78.1-79.66,"Xfba167.1, P41, M41, 4",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1017,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3A.7,3A,89.7-90.45,"AX110954980, Xmwg22",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1018,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL3A.8,3A,115.44-115.65,"D_4261525, IWB34397",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1019,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3B.1 ",3B,82.91-83.3,"IWB65330, IWB23552",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1020,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3B.2 ",3B,90.02-91.06,"AX95189982, AX94802037",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1021,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3B.3 ",3B,96.31-98.38,"XPaccMcga6, IWB5714",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1022,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3B.4 ",3B,105.69-106.47,"S_1090569, D_3946304",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1023,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3B.5 ",3B,115.05-115.25,"D_3941476, D_3532755",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1024,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3B.6 ",3B,119.94-123.07,"D_4329780, AX94925740",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1025,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3B.7 ",3B,148.23-148.57,"D_1370637, D_1216223",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1026,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3D.1 ",3D,1.29-2.23,"IWB17932, wPt1336",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1027,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3D.2 ",3D,17.05-22.9,"AX109300980, Xwmc11",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1028,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3D.3 ",3D,35.65-37.62,"Xcfd4.1, Xgwm1243",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1029,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3D.4 ",3D,50.89-51.79,"AX110430652, AX109688927",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1030,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3D.5 ",3D,54.43-54.72,"AX110430652, AX109688927",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1031,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3D.6 ",3D,58.69-59.45,"AX111337684, Xwmc529",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1032,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3D.7 ",3D,68.35-69.39,"TaCKX6a02, D1, CKX3D_AX109337862",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1033,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3D.8 ",3D,81.61-83.75,"IWB54462, IWB65811",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1034,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL3D.9 ",3D,117.71-119.57,"IWB66928, IWB30266",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1035,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4A.1 ",4A,73.68-74.49,"Xbcd1975b, XPaggMcgt9",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1036,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4A.2,4A,138..6-138.91,"IWB73976, IWB39336",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1037,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4A.3,4A,201.97-202.22,"Xcdo414, D_1229623",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1038,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4A.4,4A,208.54-209.3,"D_3948044, D_4329293",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1039,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL4A.5,4A,221.6-221.66,"BobWhite_c11327_185, Xfcp532",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1040,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4B.1 ",4B,23.15-23.54,"1123959|F|0, ACT.CTC7",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1041,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4B.2 ",4B,34.44-35.16,"IWB12274, D_2325366",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1042,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4B.3 ",4B,37.75-39.02,"IWB73905, IWB55598",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1043,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4B.4 ",4B,47.12-48.28,"IWA7266, D_1385625",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1044,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4B.5 ",4B,51.41-51.53,"wPt9393, wPt7365",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1045,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4B.6 ",4B,56.37-56.62,"Xksm0154, IWB63894",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1046,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4B.7 ",4B,59.28-59.63,"Xmag983, D_4002948",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1047,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4B.8 ",4B,74.47-74.52,"AX111195232, AX111625130",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1048,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4D.1 ",4D,7.89-10.06,"AX109230716, Xbcd1889",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1049,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4D.2 ",4D,27.64-28.96,"Xbarc359, Xwmc574",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1050,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4D.3 ",4D,36.82-39.39,"IWB19937, IWB49180",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1051,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4D.4 ",4D,56.92-60.54,"IWB15470, IWB18250",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1052,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4D.5 ",4D,73.15-74.29,"Xsrap11a, AX108975045",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1053,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4D.6 ",4D,84.17-84.51,"AX109726515, Xsrap11b",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1054,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4D.7 ",4D,92.37-93.06,"AX110418361, AX95116773",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1055,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4D.8 ",4D,94.83-96.12,"AX95116773, IWB53820",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1056,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4D.9 ",4D,102.9-104.25,"AX110005953, Xsrap6a",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1057,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL4D.10 ",4D,125.98-126.4,"IWB2197, IWA6784",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1058,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5A.1 ",5A,61.41-62.08,"IWB586, IWB25701.2",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1059,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5A.2,5A,110.97-111.43,"AX109887759, 5AS_1513496_11975",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1060,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5A.3,5A,135.05-135.84,"Xgpw2249a, D_1150907",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1061,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL5A.4,5A,175.47-176.15,"D_1109368, S_988173",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1062,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5B.1 ",5B,34.55-36.61,"Kasp_5B6, Xmag4281",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1063,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5B.2 ",5B,82.1-82.48,"AX95249061, Xcdo665b",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1064,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5B.3 ",5B,87.1-87.86,"Xfcp428, AX110503909",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1065,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5B.4 ",5B,93.73-93.92,"Xapr1.5.4, AX95259005",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1066,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5B.5 ",5B,97.88-98.45,"XPacgMcgg12, AX94972602",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1067,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5B.6 ",5B,100.64-103.25,"CTCG.CAT7, D_1100080",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1068,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5B.7 ",5B,106.5-107.32,"wPt3439c, S_1076657",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1069,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5B.8 ",5B,134.04-134.31,"Xfba232a, IWB56889",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1070,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5D.1 ",5D,48.72-49.95,"S_1045585, AX109826869",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1071,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5D.2 ",5D,76.31-79.54,"D_1237279, AX108840042",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1072,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5D.3 ",5D,93.16-95.14,"AX111733701, IWB29163",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1073,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5D.4 ",5D,104.66-105.21,"AX109314990, AX111075490",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1074,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL5D.5 ",5D,115.2-118.51,"AX111758247, AX94469027",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1075,"Triticum aestivum",Yield,"Grain yield and related traits","MQTL6A.1 ",6A,98.34-98.8,"D_3936250, GENE4011_91",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1076,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL6A.2,6A,108.95-109.74,"P78, M87.7, wPt3191a",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
1077,"Triticum aestivum",Yield,"Grain yield and related traits",MQTL6A.3,6A,150.19-151.48,"D_1124675, D_1076799",-,https://assets.researchsquare.com/files/rs-430452/v1/dfebe8a0-d344-40ee-b340-b3bcee5afe6c.pdf?c=1637244735
