id,species,trait,parameter,mqtl_name,chromosome,position_interval,associated_markers,pve,candidate_gene,reference,doi,source_file
M02565,Triticum aestivum,Heat stress tolerence,"bread break shard, bread specifc loaf volume",MQTL4D.1,4D,0 - 7.31,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02566,Triticum aestivum,Heat stress tolerence,"bread break shard, bread symmetry, bread specifc loaf volume, bread loaf weight, bread crust color, normalised difference vegetation index, Plasma membrane damage_7, Yield, Grain weight per spike, Maximum efficiency of photosystem II (Fv/Fm), Cytoplasmic membrane stability, Falling number",MQTL2B.3,2B,140.66 - 145.92,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02567,Triticum aestivum,Heat stress tolerence,"bread symmetry, bread crust color, bread specifc loaf volume, Thousand grain weight, bread loaf weight, thousand-grain weight, plant height",MQTL2A.4,2A,95.705 - 96.395,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02568,Triticum aestivum,Heat stress tolerence,"canopy temperature at vegetative stage, Mixograph peak time, bread loaf weight, Flag leaf length, HSI kernel number, Stay green, bread specifc loaf volume, bread break shard, bread crust color, Flour moisture",MQTL3B.1,3B,57.32 - 60.04,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02569,Triticum aestivum,Heat stress tolerence,"Chlorophyll content (SPAD value), Yield, Grain Yield",MQTL2B.4,2B,158.08 - 163.68,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02570,Triticum aestivum,Heat stress tolerence,"Cytoplasmic membrane stability, Grain number per spike, Grain weight per spike",MQTL7A.4,7A,110.64 - 111.92,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02571,Triticum aestivum,Heat stress tolerence,"Cytoplasmic membrane stability, Maximum efficiency of photosystem II (Fv/Fm)",MQTL7B.2,7B,101.425 - 104.115,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02572,Triticum aestivum,Heat stress tolerence,"Days to Heading, Fm maximum fuorescence, Plasma membrane damage_7, Fv/Fm chlorophyll fuorescence, SPAD chlorophyll content_4, Thylakoid membrane damage_4, Kernel number per spike",MQTL7A.6,7A,122.045 - 124.515,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02573,Triticum aestivum,Heat stress tolerence,"days to heading, plant height, leaf waxiness",MQTL7D.5,7D,354.14 - 354.8,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02574,Triticum aestivum,Heat stress tolerence,"days to heading, Spikes per plant, Plant height, Heat susceptibility index for thousand grain weight, Cytoplasmic membrane stability, Kernel number per spike, Thousand grain weight",MQTL4B.4,4B,134.705 - 136.315,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02575,Triticum aestivum,Heat stress tolerence,"days to heading, Test weight, Gluten index",MQTL5D.1,5D,27.865 - 28.855,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02576,Triticum aestivum,Heat stress tolerence,"days to maturity, grain-filling duration, days from anthesis to 95 % flag leaf senescence, grain weight spike?1, grain number spike?1, shoot dry weight, rate of chlorophyll change based on the linear regression of the measurements at 27, plant height",MQTL4B.6,4B,157.055 - 159.445,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02577,Triticum aestivum,Heat stress tolerence,"days to maturity, normalized difference vegetation index at vegetative",MQTL7D.6,7D,377.125 - 383.395,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02578,Triticum aestivum,Heat stress tolerence,"days to maturity, normalized difference vegetation index at vegetative, Farinograph tolerance index, Grain number per spike, Farinograph dough stability time, canopy temperature at vegetative stage, grain number m?2",MQTL2B.1,2B,73.8 - 75.18,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02579,Triticum aestivum,Heat stress tolerence,"days to maturity, plant height, normalised difference vegetation index",MQTL2A.2,2A,55.955 - 65.265,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02580,Triticum aestivum,Heat stress tolerence,"Dry gluten content, Heat susceptibility index for thousand grain weight, Plant height, Mixograph peak height, Mixograph peak time, Mixograph height curve at 8 min, Heat susceptibility index for grain yield, Chlorophyll content, Wet gluten content, stress susceptibility index, Flour protein content, Canopy temperature depression, Heat susceptibility index for grain yield",MQTL7B.3,7B,120.82 - 122.44,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02581,Triticum aestivum,Heat stress tolerence,"Dry gluten content, Wet gluten content",MQTL4D.2,4D,30.105 - 38.955,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02582,Triticum aestivum,Heat stress tolerence,"Falling number, days to maturity, grain filling duration, grain weight spike?1, single grain weight, shoot dry weight, plant height, harvest index",MQTL4B.2,4B,100.08 - 106.1,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02583,Triticum aestivum,Heat stress tolerence,"Falling number, Flour moisture",MQTL1D.1,1D,117.43 - 134.57,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02584,Triticum aestivum,Heat stress tolerence,"Falling number, Yield, Yield, canopy temperature at grain-filling stage, Dry gluten content, Kernel diameter, Days to maturity, Kernel hardness, Single kernel weight, Kernel weight per spike, Days to flowering, Yield, Yield, Days to Heading, Harvest indext, Flag leaf width, Thousand kernel weight, Flag leaf length, Heat susceptibility index, bread symmetry, bread loaf weight, normalized difference vegetation index at vegetative",MQTL2D.2,2D,124.255 - 128.645,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02585,Triticum aestivum,Heat stress tolerence,"Farinograph dough stability time, Falling number, Dry gluten content, HSI_Single kernel weight main spike, Test weight, Wet gluten content, HSI_Single kernel weight main spike",MQTL4A.3,4A,676.51 - 681.93,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02586,Triticum aestivum,Heat stress tolerence,"Farinograph water absorption, HSI_Kernel weight of main spike, bread break shard, Acquired thermotolerance, Productive tiller, Mixograph height curve at 8 min, Stay green, single grain weight, Heat susceptibility",MQTL1B.4,1B,120.815 - 120.925,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02587,Triticum aestivum,Heat stress tolerence,"Flag leaf length, Days to flowering, Test weight",MQTL5B.1,5B,105.77 - 112.49,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02588,Triticum aestivum,Heat stress tolerence,"Flag leaf length, Grain filling duration",MQTL1B.3,1B,105.395 - 111.705,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02589,Triticum aestivum,Heat stress tolerence,"Flag leaf width, Yield",MQTL1D.3,1D,224.52 - 247.98,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02590,Triticum aestivum,Heat stress tolerence,"Flag leaf width, Yield, Yield",MQTL7A.3,7A,104.05 - 108.41,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02591,Triticum aestivum,Heat stress tolerence,"Flour moisture, Mixograph peak time",MQTL3A.1,3A,82.63 - 117.53,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02592,Triticum aestivum,Heat stress tolerence,"Flour protein content, single grain weight, Heat susceptibility index for thousand grain weight",MQTL6A.1,6A,444.49 - 446.99,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02593,Triticum aestivum,Heat stress tolerence,"Fv variable fuorescence, thousand-kernel weight, Fv/Fm maximum quantum effciency of PS II",MQTL1A.3,1A,99.73 - 101.77,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02594,Triticum aestivum,Heat stress tolerence,"grain number m?2, normalized difference vegetation index at vegetative, grain yield m?2",MQTL3D.3,3D,176.41 - 177.29,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02595,Triticum aestivum,Heat stress tolerence,"Grain weight per spike, bread specific loaf volume, bread break shard",MQTL4B.1,4B,70.705 - 76.695,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02596,Triticum aestivum,Heat stress tolerence,"Grain yield per spike, Yield, Mixograph height curve at 8 min",MQTL6B.3,6B,180.255 - 192.385,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02597,Triticum aestivum,Heat stress tolerence,"Grain yield, Chlorophyll content at 4DPA, SPAD chlorophyll content_4, Yield, Grain-filling duration, bread specifc loaf volume",MQTL1B.2,1B,100.17 - 100.55,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02598,Triticum aestivum,Heat stress tolerence,"Grain yield, Yield",MQTL3A.2,3A,145.75 - 148.29,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02599,Triticum aestivum,Heat stress tolerence,"Grain-filling duration, HSI kernel number, HSI grain filling duration, Dry gluten content",MQTL2A.1,2A,33.72 - 39.7,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02600,Triticum aestivum,Heat stress tolerence,"Harvest indext, Falling number",MQTL7D.2,7D,232.17 - 245.73,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02601,Triticum aestivum,Heat stress tolerence,"Heat susceptibility index for thousand grain weight, Flour moisture",MQTL1A.5,1A,136.825 - 139.155,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02602,Triticum aestivum,Heat stress tolerence,"Heat susceptibility index for thousand grain weight, Heat susceptibility index for grain filling duration",MQTL2B.5,2B,332.745 - 352.575,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02603,Triticum aestivum,Heat stress tolerence,"Heat susceptibility index, Canopy temperature depression, Grain-filling duration, Thousand grain weight, Days to Heading, Flour moisture",MQTL7A.7,7A,152.285 - 154.775,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02604,Triticum aestivum,Heat stress tolerence,"Heat susceptibility index, normalized difference vegetation index at grain-filling stage",MQTL5D.4,5D,135.85 - 142.73,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02605,Triticum aestivum,Heat stress tolerence,"HSI grain filling duration, Plasma membrane damage_10, SPAD chlorophyll content_7, Thylakoid membrane damage_4",MQTL1D.2,1D,213.92 - 216.9,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02606,Triticum aestivum,Heat stress tolerence,"HSI kernel number, HSI single kernel weight, Fm maximum fluorescence, Grain yield, Farinograph tolerance index, Farinograph water absorption, Falling number",MQTL1A.4,1A,105.55 - 107.67,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02607,Triticum aestivum,Heat stress tolerence,"HSI kernel weight, HSI grain filling duration, HSI_Single kernel weight main spike, canopy temperature at grain-filling stage, Temperature depression of main spike, grain yield m?2, canopy temperature at vegetative stage",MQTL6D.1,6D,53.69 - 54.55,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02608,Triticum aestivum,Heat stress tolerence,"HSI_Single kernel weight main spike, canopy temperature at vegetative stage, Temperature depression of flag leaf, Grain-filling duration",MQTL5A.1,5A,347.665 - 350.755,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02609,Triticum aestivum,Heat stress tolerence,"HSI_Single kernel weight main spike, Heading date, Temperature depression of main spike, Grain yield, days to maturity, Farinograph dough development time, HSI_Single kernel weight main spike, Temperature depression of main spike, Canopy temperature depression, Height",MQTL2D.1,2D,112.405 - 115.435,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02610,Triticum aestivum,Heat stress tolerence,"Individual kernel weight, Grain filling duration, Grain filling duration, Visual wax score, Mixograph peak height, Thousand kernel weight, Kernel diameter, Proline content, Grain number per spike, Thousand grain weight, Yield, HSI kernel number",MQTL5A.2,5A,358.115 - 360.425,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02611,Triticum aestivum,Heat stress tolerence,"Kernel hardness, Height",MQTL4B.3,4B,127.47 - 130.27,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02612,Triticum aestivum,Heat stress tolerence,"length of the ear peduncle, Percent greenness at maximum senescence, Yield, grain number m?2",MQTL3A.3,3A,166.06 - 167.34,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02613,Triticum aestivum,Heat stress tolerence,"Maximum efficiency of photosystem II (Fv/Fm), 50% Green, SPAD chlorophyll content_4, Time to maximum rate of senescence, Thylakoid membrane damage_4, Wet gluten content",MQTL6A.2,6A,470.875 - 472.225,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02614,Triticum aestivum,Heat stress tolerence,"Maximum efficiency of photosystem II (Fv/Fm), Falling number, Time to maximum rate of senescence, Percent greenness at maximum senescence",MQTL6B.1,6B,145.415 - 147.365,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02615,Triticum aestivum,Heat stress tolerence,"Mixograph height curve at 8 min, bread break shard, Yield, Yield, bread crust color, bread specifc loaf volume, Flour protein content, Yield",MQTL2D.3,2D,152.95 - 154.81,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
M02616,Triticum aestivum,Heat stress tolerence,"Mixograph height curve at 8 min, Mixograph peak height",MQTL5B.5,5B,289.755 - 304.485,,,,"Kumar, S., Singh, V. P., Saini, D. K., Sharma, H., Saripalli, G., Kumar, S., ... & Gupta, P. K. (2021). Meta-QTLs, ortho-MQTLs, and candidate genes for thermotolerance in wheat (Triticum aestivum L.). Molecular Breeding, 41(11), 69.",https://doi.org/10.1007/s11032-021-01264-7,MQTL_all traitsV3.0_final
